full_text,cleaned_text,normalized_text,text_without_stopwords,tokens,sentiment_score,sentiment_label,naivebayes_label
Hari ke-75 Jum'at (13/6) film Jumbo sudah keluar dari bioskop Java Supermall. Masih ada 2 bioskop. #Semarang #kofindo,hari ke75 jumat 136 film jumbo sudah keluar dari bioskop java supermall masih ada 2 bioskop  ,hari ke75 jumat 136 film jumbo sudah keluar dari bioskop java supermall masih ada 2 bioskop,ke75 jumat 136 film jumbo bioskop java supermall 2 bioskop,"['ke75', 'jumat', '136', 'film', 'jumbo', 'bioskop', 'java', 'supermall', '2', 'bioskop']",0,Positive,Positive
[Hari 75#] Jadwal pemutaran film Jumbo Jum'at (13/6): Mangkang 11:50 Citra 14:35 18:55*,hari 75 jadwal pemutaran film jumbo jumat 136 mangkang 1150 citra 1435 1855,hari 75 jadwal pemutaran film jumbo jumat 136 mangkang 1150 citra 1435 1855,75 jadwal pemutaran film jumbo jumat 136 mangkang 1150 citra 1435 1855,"['75', 'jadwal', 'pemutaran', 'film', 'jumbo', 'jumat', '136', 'mangkang', '1150', 'citra', '1435', '1855']",0,Positive,Positive
Turut senang film Jumbo bisa sesukses ini tapi maaf sekali bang ryan hidup saya yang lagi ngalor ngidul ini tidak dapat menyempatkan diri buat nonton ,turut senang film jumbo bisa sesukses ini tapi maaf sekali bang ryan hidup saya yang lagi ngalor ngidul ini tidak dapat menyempatkan diri buat nonton ,turut senang film jumbo bisa sesukses ini tapi maaf sekali bang ryan hidup saya yang lagi ngalor ngidul ini tidak dapat menyempatkan diri buat nonton,senang film jumbo sesukses maaf bang ryan hidup ngalor ngidul menyempatkan nonton,"['senang', 'film', 'jumbo', 'sesukses', 'maaf', 'bang', 'ryan', 'hidup', 'ngalor', 'ngidul', 'menyempatkan', 'nonton']",1,Positive,Positive
@irfadio @Adriandhy Udah beda itu. Biarkan gjls ibuku ibu ibu jalan sendiri. Malu kita semua misal film itu ngalahin jumbo. Sebagai film terbaik dan nomor satu di Indonesia sepanjang masa. Yang ada kita warga Indonesia di bully warga negara lain. Goblok ,  udah beda itu biarkan gjls ibuku ibu ibu jalan sendiri malu kita semua misal film itu ngalahin jumbo sebagai film terbaik dan nomor satu di indonesia sepanjang masa yang ada kita warga indonesia di bully warga negara lain goblok ,udah beda itu biarkan gjls ibuku ibu ibu jalan sendiri malu kita semua misal film itu ngalahin jumbo sebagai film terbaik dan nomor satu di indonesia sepanjang masa yang ada kita warga indonesia di bully warga negara lain goblok,udah beda biarkan gjls ibuku jalan malu film ngalahin jumbo film terbaik nomor indonesia warga indonesia bully warga negara goblok,"['udah', 'beda', 'biarkan', 'gjls', 'ibuku', 'jalan', 'malu', 'film', 'ngalahin', 'jumbo', 'film', 'terbaik', 'nomor', 'indonesia', 'warga', 'indonesia', 'bully', 'warga', 'negara', 'goblok']",0,Positive,Positive
@Rigensih harusnya bisa setara jumbo lah ya bang penontonnya mengingat film gjls kan jumbo nya ada 3 , harusnya bisa setara jumbo lah ya bang penontonnya mengingat film gjls kan jumbo nya ada 3 ,harusnya bisa setara jumbo lah ya bang penontonnya mengingat film gjls kan jumbo nya ada 3,setara jumbo ya bang penontonnya film gjls jumbo nya 3,"['setara', 'jumbo', 'ya', 'bang', 'penontonnya', 'film', 'gjls', 'jumbo', 'nya', '3']",0,Positive,Positive
another tweet about GJLS and jumbo tapi baru sadar kalo semester ini gue udah (dan cuma) nonton dua film indo yang sangat sangat magis bedanya yang satu magisnya kayak sihir peri di dongeng masa kecil yang satu lagi magisnya macem sihir dukun santet https://t.co/QypOozqKGv,another tweet about gjls and jumbo tapi baru sadar kalo semester ini gue udah dan cuma nonton dua film indo yang sangat sangat magis bedanya yang satu magisnya kayak sihir peri di dongeng masa kecil yang satu lagi magisnya macem sihir dukun santet ,another tweet about gjls and jumbo tapi baru sadar kalo semester ini saya udah dan cuma nonton dua film indo yang sangat sangat magis bedanya yang satu magisnya kayak sihir peri di dongeng masa kecil yang satu lagi magisnya macem sihir dukun santet,another tweet about gjls and jumbo sadar kalo semester udah nonton film indo magis bedanya magisnya kayak sihir peri dongeng magisnya macem sihir dukun santet,"['another', 'tweet', 'about', 'gjls', 'and', 'jumbo', 'sadar', 'kalo', 'semester', 'udah', 'nonton', 'film', 'indo', 'magis', 'bedanya', 'magisnya', 'kayak', 'sihir', 'peri', 'dongeng', 'magisnya', 'macem', 'sihir', 'dukun', 'santet']",0,Positive,Positive
Hahahahah kasian banget penonton Indonesia udah diusahain dipinterin melalui Jumbo lalu kemudian dibalikin jadi goblok sama GJLS. Tolong bocorin gimana caranya meyakinkan investor dengan ide film ginian plissssss ..... Gue pikir Kuyup udah yang paling tergoblok dari GJLS https://t.co/QHd1YKpJRX,hahahahah kasian banget penonton indonesia udah diusahain dipinterin melalui jumbo lalu kemudian dibalikin jadi goblok sama gjls tolong bocorin gimana caranya meyakinkan investor dengan ide film ginian plissssss  gue pikir kuyup udah yang paling tergoblok dari gjls ,hahahahah kasian sangat penonton indonesia udah diusahain dipinterin melalui jumbo lalu kemudian dibalikin jadi goblok sama gjls tolong bocorin gimana caranya meyakinkan investor dengan ide film ginian plissssss saya pikir kuyup udah yang paling tergoblok dari gjls,hahahahah kasian penonton indonesia udah diusahain dipinterin jumbo dibalikin goblok gjls tolong bocorin gimana investor ide film ginian plissssss pikir kuyup udah tergoblok gjls,"['hahahahah', 'kasian', 'penonton', 'indonesia', 'udah', 'diusahain', 'dipinterin', 'jumbo', 'dibalikin', 'goblok', 'gjls', 'tolong', 'bocorin', 'gimana', 'investor', 'ide', 'film', 'ginian', 'plissssss', 'pikir', 'kuyup', 'udah', 'tergoblok', 'gjls']",0,Positive,Positive
@Rigensih Pak gen aku nonton di bella terra tadi dan satu bioskop ketawa ngakak!!! Lucu dan GOBLOKK BANGETTT!!!! Makasih udsh buat film seHAHWKWKWKWK ini️ capek kerja seharian langsung seneng lagii nontonnya moga berkah buat 3 jumbo gjls, pak gen aku nonton di bella terra tadi dan satu bioskop ketawa ngakak lucu dan goblokk bangettt makasih udsh buat film sehahwkwkwkwk ini capek kerja seharian langsung seneng lagii nontonnya moga berkah buat 3 jumbo gjls,pak gen aku nonton di bella terra tadi dan satu bioskop ketawa ngakak lucu dan goblokk bangettt makasih udsh buat film sehahwkwkwkwk ini capek kerja seharian langsung seneng lagii nontonnya moga berkah buat 3 jumbo gjls,gen nonton bella terra bioskop ketawa ngakak lucu goblokk bangettt makasih udsh film sehahwkwkwkwk capek kerja seharian langsung seneng lagii nontonnya moga berkah 3 jumbo gjls,"['gen', 'nonton', 'bella', 'terra', 'bioskop', 'ketawa', 'ngakak', 'lucu', 'goblokk', 'bangettt', 'makasih', 'udsh', 'film', 'sehahwkwkwkwk', 'capek', 'kerja', 'seharian', 'langsung', 'seneng', 'lagii', 'nontonnya', 'moga', 'berkah', '3', 'jumbo', 'gjls']",1,Positive,Positive
Besok mau nonton film Jumbo di bioskop untuk pertama kalinya Sebagai ambivert aku suka keramaian tapi juga suka kesunyian . Jadi nonton #FilmJUMBO sekarang rasanya pas karena gak ramai. Alhamdulillah masih tayang di Jogja.,besok mau nonton film jumbo di bioskop untuk pertama kalinya sebagai ambivert aku suka keramaian tapi juga suka kesunyian  jadi nonton  sekarang rasanya pas karena gak ramai alhamdulillah masih tayang di jogja,besok mau nonton film jumbo di bioskop untuk pertama kalinya sebagai ambivert aku suka keramaian tapi juga suka kesunyian jadi nonton sekarang rasanya pas karena tidak ramai alhamdulillah masih tayang di jogja,besok nonton film jumbo bioskop kalinya ambivert suka keramaian suka kesunyian nonton pas ramai alhamdulillah tayang jogja,"['besok', 'nonton', 'film', 'jumbo', 'bioskop', 'kalinya', 'ambivert', 'suka', 'keramaian', 'suka', 'kesunyian', 'nonton', 'pas', 'ramai', 'alhamdulillah', 'tayang', 'jogja']",2,Positive,Positive
@thisisyudhis Film favorit saya Fast and Furious Tokyo Drift mereka jumbo. nah baru pas klo gini Lancer Evo melaju , film favorit saya fast and furious tokyo drift mereka jumbo nah baru pas klo gini lancer evo melaju ,film favorit saya fast and furious tokyo drift mereka jumbo nah baru pas kalau gini lancer evo melaju,film favorit fast and furious tokyo drift jumbo pas gini lancer evo melaju,"['film', 'favorit', 'fast', 'and', 'furious', 'tokyo', 'drift', 'jumbo', 'pas', 'gini', 'lancer', 'evo', 'melaju']",1,Positive,Positive
@chtaeryeong Hehehe tmi dari trainee aku juga jadi pemimpin loh terima kasih kakak untuk pujiannya jadi malu deh aku karena kakak cantik jadi kakak nonton film jumbo!, hehehe tmi dari trainee aku juga jadi pemimpin loh terima kasih kakak untuk pujiannya jadi malu deh aku karena kakak cantik jadi kakak nonton film jumbo,hehehe tmi dari trainee aku juga jadi pemimpin loh terima kasih kakak untuk pujiannya jadi malu deh aku karena kakak cantik jadi kakak nonton film jumbo,hehehe tmi trainee pemimpin loh terima kasih kakak pujiannya malu deh kakak cantik kakak nonton film jumbo,"['hehehe', 'tmi', 'trainee', 'pemimpin', 'loh', 'terima', 'kasih', 'kakak', 'pujiannya', 'malu', 'deh', 'kakak', 'cantik', 'kakak', 'nonton', 'film', 'jumbo']",0,Positive,Positive
@Adriandhy U guys at the Top congrats n enjoy. Kira2 kalian bisa bertahan berapa lama .... Ayo film Indonesia saat nya siapkan film baru buat menggoncang rahta Jumbo .... Semangat sineas Indonesia., u guys at the top congrats n enjoy kira2 kalian bisa bertahan berapa lama  ayo film indonesia saat nya siapkan film baru buat menggoncang rahta jumbo  semangat sineas indonesia,u guys at the top congrats n enjoy kira2 kalian bisa bertahan berapa lama ayo film indonesia saat nya siapkan film baru buat menggoncang rahta jumbo semangat sineas indonesia,u guys at the top congrats n enjoy kira2 bertahan ayo film indonesia nya siapkan film menggoncang rahta jumbo semangat sineas indonesia,"['u', 'guys', 'at', 'the', 'top', 'congrats', 'n', 'enjoy', 'kira2', 'bertahan', 'ayo', 'film', 'indonesia', 'nya', 'siapkan', 'film', 'menggoncang', 'rahta', 'jumbo', 'semangat', 'sineas', 'indonesia']",0,Positive,Positive
@hifdzikhoir mas Hip penonton film GJLS udah berapa juta ?. udah ngelewatin Jumbo belum ?, mas hip penonton film gjls udah berapa juta  udah ngelewatin jumbo belum ,mas hip penonton film gjls udah berapa juta udah ngelewatin jumbo belum,mas hip penonton film gjls udah juta udah ngelewatin jumbo,"['mas', 'hip', 'penonton', 'film', 'gjls', 'udah', 'juta', 'udah', 'ngelewatin', 'jumbo']",0,Positive,Positive
Saras dan Yudhis hanya ingin mengubur duka Tapi jenazah sang ayah justru bangkit dan berjalan. Apa yang sebenarnya belum selesai? Terinspirasi dari kisah nyata dalam Podcast Lentera Malam. #FilmSelepasTahlil tayang 10 Juli 2025 di bioskop #LenteraMalam https://t.co/q7TOQWIWrn,saras dan yudhis hanya ingin mengubur duka tapi jenazah sang ayah justru bangkit dan berjalan apa yang sebenarnya belum selesai terinspirasi dari kisah nyata dalam podcast lentera malam  tayang 10 juli 2025 di bioskop  ,saras dan yudhis hanya ingin mengubur duka tapi jenazah sang ayah justru bangkit dan berjalan apa yang sebenarnya belum selesai terinspirasi dari kisah nyata dalam podcast lentera malam tayang 10 juli 2025 di bioskop,saras yudhis mengubur duka jenazah sang ayah bangkit berjalan selesai terinspirasi kisah nyata podcast lentera malam tayang 10 juli 2025 bioskop,"['saras', 'yudhis', 'mengubur', 'duka', 'jenazah', 'sang', 'ayah', 'bangkit', 'berjalan', 'selesai', 'terinspirasi', 'kisah', 'nyata', 'podcast', 'lentera', 'malam', 'tayang', '10', 'juli', '2025', 'bioskop']",0,Positive,Positive
@ekky1995 bisa pecahkan rekor film jumbo kalo ditonton 40 juta pemilih anies, bisa pecahkan rekor film jumbo kalo ditonton 40 juta pemilih anies,bisa pecahkan rekor film jumbo kalo ditonton 40 juta pemilih anies,pecahkan rekor film jumbo kalo ditonton 40 juta pemilih anies,"['pecahkan', 'rekor', 'film', 'jumbo', 'kalo', 'ditonton', '40', 'juta', 'pemilih', 'anies']",0,Positive,Positive
@SIRSANGWON Aight bruh. I got it. The moment air dinginnya hits kaki all problems just vanished. Lucu banget u tuh kayak Nurman di film Jumbo suka banget nyatet-nyatet. YESS INDAHNYA SAMSAT SORE HARII., aight bruh i got it the moment air dinginnya hits kaki all problems just vanished lucu banget u tuh kayak nurman di film jumbo suka banget nyatetnyatet yess indahnya samsat sore harii,aight bruh i got it the moment air dinginnya hits kaki all problems just vanished lucu sangat u tuh kayak nurman di film jumbo suka sangat nyatetnyatet yess indahnya samsat sore harii,aight bruh i got it the moment air dinginnya hits kaki all problems just vanished lucu u tuh kayak nurman film jumbo suka nyatetnyatet yess indahnya samsat sore harii,"['aight', 'bruh', 'i', 'got', 'it', 'the', 'moment', 'air', 'dinginnya', 'hits', 'kaki', 'all', 'problems', 'just', 'vanished', 'lucu', 'u', 'tuh', 'kayak', 'nurman', 'film', 'jumbo', 'suka', 'nyatetnyatet', 'yess', 'indahnya', 'samsat', 'sore', 'harii']",2,Positive,Positive
@fuckanyghost Apa judul film ini @grok, apa judul film ini ,apa judul film ini,judul film,"['judul', 'film']",0,Positive,Positive
Sedihh aku belum sempat nonton film ini tapi ku ucapkan selamat dan salut kepada JUMBO dan seluruh tim penonton dan supporter film ini semoga selalu sukses ke depannya dan terus berkarya!! ,sedihh aku belum sempat nonton film ini tapi ku ucapkan selamat dan salut kepada jumbo dan seluruh tim penonton dan supporter film ini semoga selalu sukses ke depannya dan terus berkarya ,sedihh aku belum sempat nonton film ini tapi ku ucapkan selamat dan salut kepada jumbo dan seluruh tim penonton dan supporter film ini semoga selalu sukses ke depannya dan terus berkarya,sedihh nonton film ku ucapkan selamat salut jumbo tim penonton supporter film semoga sukses depannya berkarya,"['sedihh', 'nonton', 'film', 'ku', 'ucapkan', 'selamat', 'salut', 'jumbo', 'tim', 'penonton', 'supporter', 'film', 'semoga', 'sukses', 'depannya', 'berkarya']",0,Positive,Positive
@Adriandhy Bang Ryan dan semua kawan-kawan di balik layar Jumbo terimakasih seJUMBO-JUMBOnya ya sudah bikin film sehangat dan sepenuh cinta ini. Ditunggu-tunggu karya-karya selanjutnyaaaa! , bang ryan dan semua kawankawan di balik layar jumbo terimakasih sejumbojumbonya ya sudah bikin film sehangat dan sepenuh cinta ini ditunggutunggu karyakarya selanjutnyaaaa ,bang ryan dan semua kawankawan di balik layar jumbo terimakasih sejumbojumbonya ya sudah bikin film sehangat dan sepenuh cinta ini ditunggutunggu karyakarya selanjutnyaaaa,bang ryan kawankawan layar jumbo terimakasih sejumbojumbonya ya bikin film sehangat sepenuh cinta ditunggutunggu karyakarya selanjutnyaaaa,"['bang', 'ryan', 'kawankawan', 'layar', 'jumbo', 'terimakasih', 'sejumbojumbonya', 'ya', 'bikin', 'film', 'sehangat', 'sepenuh', 'cinta', 'ditunggutunggu', 'karyakarya', 'selanjutnyaaaa']",1,Positive,Positive
Belum signing outt.. kami masih tayang kok di bioskop tapi showtime sudah tipiss jadi akun BiBO dan Cinepoint berhenti tracking performancenyaa ,belum signing outt kami masih tayang kok di bioskop tapi showtime sudah tipiss jadi akun bibo dan cinepoint berhenti tracking performancenyaa ,belum signing outt kami masih tayang kok di bioskop tapi showtime sudah tipiss jadi akun bibo dan cinepoint berhenti tracking performancenyaa,signing outt tayang bioskop showtime tipiss akun bibo cinepoint berhenti tracking performancenyaa,"['signing', 'outt', 'tayang', 'bioskop', 'showtime', 'tipiss', 'akun', 'bibo', 'cinepoint', 'berhenti', 'tracking', 'performancenyaa']",0,Positive,Positive
Diagram ini mewakili rasa jadi #BuzzerJUMBO Campur aduk banget! Senang haru bangga pokoknya sayang banget sama #JUMBO Kalian tuh bukan cuma penonton tapi bagian dari perjalanan film ini. Tanpa kalian film JUMBO nggak akan sebesar ini. Terima kasih yaa teman-teman https://t.co/utFy6YARja,diagram ini mewakili rasa jadi  campur aduk banget senang haru bangga pokoknya sayang banget sama  kalian tuh bukan cuma penonton tapi bagian dari perjalanan film ini tanpa kalian film jumbo nggak akan sebesar ini terima kasih yaa temanteman ,diagram ini mewakili rasa jadi campur aduk sangat senang haru bangga pokoknya sayang sangat sama kalian tuh bukan cuma penonton tapi bagian dari perjalanan film ini tanpa kalian film jumbo tidak akan sebesar ini terima kasih yaa temanteman,diagram mewakili campur aduk senang haru bangga pokoknya sayang tuh penonton perjalanan film film jumbo terima kasih yaa temanteman,"['diagram', 'mewakili', 'campur', 'aduk', 'senang', 'haru', 'bangga', 'pokoknya', 'sayang', 'tuh', 'penonton', 'perjalanan', 'film', 'film', 'jumbo', 'terima', 'kasih', 'yaa', 'temanteman']",1,Positive,Positive
